SMILES,source_file
[H]OC(c1nn(C(=O)N2C([H])([H])[C@]([H])(OC([H])([H])[H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])Oc2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])Oc2c([H])c([H])c(F)c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1C(OC([H])([H])[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])[C@]([H])(O[H])C([H])=C([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H],trainingset_covalent_smiles.csv
[H]c1c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]4([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c(OC([H])([H])[H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H],trainingset_covalent_smiles.csv
[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1nc([H])c([H])c([H])c1[H])c1nc([H])c([H])c([H])c1[H],trainingset_covalent_smiles.csv
