ID,SMILES
52,O1[C@]2([C@@]3([C@H]([C@H]4[C@H]([C@@H](O)C3)[C@@]3(C(=CC(=O)C=C3)CC4)C)C[C@H]2O[C@H]1C1CCCCC1)C)C(=O)COC(=O)C(C)C
53,O(CCCCc1ccccc1)c1ccc(C(=O)Nc2c3oc(cc(=O)c3ccc2)c2n[nH]nn2)cc1
54,O=c1[nH]c(=O)n(c2ncn(c12)C)C
55,OC(=O)C[C@H](CC(C)C)CN
56,S1[C@H]2N(C(=C(C[N]3(CCCC3)C)C1)C(=O)[O])C(=O)[C@H]2NC(=O)/C(=N\OC)/c1nc(sc1)N
57,S1[C@H]2N(C(=O)[C@H]2NC(=O)CC#N)C(=C(C1)COC(=O)C)C(=O)O
58,S1[C@H]2N(C(=O)[C@H]2NC(=O)/C(=C\CC(=O)O)/c2nc(sc2)N)C(=CC1)C(=O)O
59,S1[C@H]2N(C(=O)[C@H]2NC(=O)/C(=N\OC)/c2nc(sc2)N)C(=C(C1)COC)C(=O)O
60,o1c(=O)c([C@H](CC(=O)C)c2ccc(N(=O)=O)cc2)c(O)c2c1cccc2
61,FC(F)(F)c1cc(N2CCN(CC2)CCOC(=O)c2c(Nc3c4c(ncc3)cc(cc4)C(F)(F)F)cccc2)ccc1
62,O([C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC1)C)C(=O)CC
63,O([C@H]1[C@H](O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2N)CO)[C@@H](N)C[C@@H](N)[C@@H]1O)[C@@H]1O[C@@H]([C@@H](O[C@H]2O[C@H]([C@@H](O)[C@H](O)[C@H]2N)CN)[C@H]1O)CO
64,Oc1c2ncccc2c(N(=O)=O)cc1
65,S([C@H](C(=O)NCC(=O)O)C)C(=O)c1sccc1
66,Clc1cc2c(N(C(=O)[C@@H](O)N=C2c2ccccc2)C)cc1
67,O=c1n(n(c(c1N(C)C)C)C)c1ccccc1
68,O=C(NC[C@H]1N(CCC1)CC=C)c1c(OC)cc2n[nH]nc2c1
69,O[C@H]1[C@]23[C@@H](N(c4c3cccc4)C)[C@H]3[N@]4[C@H]([C@@H]1[C@@H](C3)[C@@H]([C@H]4O)CC)C2
70,O=c1[nH]cc(c2ccncc2)cc1N
71,O(c1cc(O)c(C(=O)c2ccccc2)cc1)C
72,N(C1Cc2c(C1)cccc2)(CCCN(CC)CC)c1ccccc1
73,Fc1ccc(C(N2CCN(CC2)C2=[N]=C([N]C(=N2)NCC=C)NCC=C)c2ccc(F)cc2)cc1
74,O[C@@]1([C@@]2([C@H]([C@H]3[C@H](CC2)[C@@H]2C(=CCCC2)CC3)CC1)C)CC=C
75,O([C@H](C(C[C@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC)C(=O)C
76,O=C1[C@@]2([C@H]([C@H]3[C@H](CC2)[C@@H]2C(=CC(=O)CC2)CC3)CC1)C
77,ClC[C@H]1N(S(=O)(=O)c2c(N1)cc(Cl)c(S(=O)(=O)N)c2)C
78,O=c1n(n(c(c1)C)C)c1ccccc1
79,O[C@@H]1C/C(=C/C=C\2/[C@H]3[C@@]([C@H](CC3)[C@@H](CCCC(C)C)C)(CCC2)C)/C(=C)[C@@H](O)C1
80,O=C1NC(=O)CC[C@@]1(CC)c1ccccc1
81,s1c(CCN2C[C@H]([C@H](N(c3ccccc3)C(=O)CC)CC2)C)ccc1
82,OCCCC(=O)O
83,O(c1cc2c(CCN(C(C)C)C(C)C)c[nH]c2cc1)C
84,O1c2cc(C[C@H](N)C)cc(OC)c2OC1
85,O=C1[C@@]2([C@H]([C@H]3[C@H](CC2)[C@@H]2C(=CC3)CC(=O)CC2)CC1)C
86,s1c(C(=C[C@H](N(C)C)C)c2sccc2)ccc1
87,Oc1cc2c(CCN(C)C)c[nH]c2cc1
88,Oc1c(ccc(N)c1)C(=O)O
89,[nH]1c2c(c(C[C@H](N)C)c1)cccc2
90,O1[C@@H]([C@H](N=C1N)C)c1ccccc1
91,O1[C@@H]2[C@]34[C@]5(C[C@@H]([C@]2(OC)CC5)[C@](O)(CCC)C)[C@H](N(CC3)C)Cc2c4c1c(O)cc2
92,O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)CC(=O)C=C4)C)CC2)CC1)C
93,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(OC(=O)C)cc3)C=C[C@@H]2OC(=O)C
94,O[C@@H](CN1CC[C@H](N(c2ccccc2)C(=O)CC)CC1)c1ccccc1
95,O1c2cc(C[C@H](NC)C)ccc2OC1
96,O[C@@H]1[C@@]2([C@H]([C@H]3[C@H](CC2)[C@@H]2C(=CC3)C[C@@H](O)CC2)CC1)C
97,O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC3)CC(=O)CC4)C)CC2)CC1)C
98,S(c1c(OC)cc(CCN)c(OC)c1)CCC
99,O1[C@@H]([C@H](Oc2c(OCC)cccc2)c2ccccc2)CNCC1
100,O=c1n(C2CCN(CC2)CCC(c2ccccc2)(c2ccccc2)C#N)c2c(n1C(=O)CC)cccc2
101,N(CCc1c2c([nH]c1)cccc2)(CC)CC
102,O(C(c1ccccc1)(c1ccccc1)C(=O)OCCN(C)C)CC
103,O(c1ccc(Cc2n(CCN(CC)CC)c3c(n2)cc(N(=O)=O)cc3)cc1)CC
104,N([C@H]1[C@@H]2C[C@H]([C@@H]1c1ccccc1)CC2)CC
105,O(C(=O)[C@@]1(CCN(CC1)CCOC[C@@H]1OCCC1)c1ccccc1)CC
106,O(c1c(C[C@@H](N)C)cc(OC)cc1)C
107,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(OCC)cc3)C=C[C@@H]2O
108,O(c1c(C[C@@H](N)C)cc(OC)c(c1)CC)C
109,s1c(C(=C[C@H](N(CC)C)C)c2sccc2)ccc1
110,O=c1[nH]c(c(c2ccncc2)cc1C#N)C
111,OC(=O)[C@@H](N)CCC[N]C(=[NH2])N
112,O1[C@@H]2[C@]34[C@@]5([C@H](N(CC3)C)Cc3c4c1c(OC(=O)C)cc3)C[C@@H]([C@]2(OC)C=C5)[C@](O)(CCC)C
113,s1c(C[C@H](N2CC[C@H](N(c3ccccc3)C(=O)CC)CC2)C)ccc1
114,O[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)C[C@H]3C)C)CC2)CC1)C)C
115,O(c1ccc(C[C@H](N)C)cc1)C
116,O([C@]1([C@@H](CN(CC1)C)C)c1ccccc1)C(=O)CC
117,O[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=C[C@@H](O)CC4)CC3)C)CC2)CC1)C)C
118,O1CCN(CCC(c2ccccc2)(c2ccccc2)C(=O)OCC)CC1
119,Brc1cc2[C@@]3(OCC[N@@]3CC(=O)Nc2cc1)c1c(F)cccc1
120,O(C1(CCN(CC1)C)c1ccccc1)C(=O)CC
121,O[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)C[C@H](O)CC4)C)CC2)CC1)C)C
122,BrCCC(=O)N1CCN(CC1)C(=O)CCBr
123,O1[C@@H]2[C@]34[C@@]5([C@H](N(CC3)CC3CC3)Cc3c4c1c(O)cc3)C[C@@H]([C@]2(OC)C=C5)C(O)(C)C
124,O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)CC(=O)C=C4)C)CC2)CC1)C
125,O=c1n(c(=O)n(c2ncn(CCN[C@@H](Cc3ccccc3)C)c12)C)C
126,O=C1NC(=O)NC(=O)C1(CC)CC
127,Brc1c(OC)cc(C[C@@H](N)C)c(OC)c1
128,O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=C(O)C(=O)CC4)CC3)C)CC2)CC1)C
129,O[C@H]([C@@H](N)C)c1ccccc1
130,O(c1cc(C(CC)(CC)CNC(=O)CCCO)ccc1)C
131,N(CCc1c2c([nH]c1)cccc2)(C)C
