InChI
InChI=1S/C22H31NO4S/c1-4-6-7-10-17-27-21-14-12-20(13-15-21)18-23(22(25)28(26)5-2)16-9-8-11-19(3)24/h1,12-15H,5-11,16-18H2,2-3H3/t28-/m0/s1
InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H
InChI=1S/C3H2S3/c4-3-5-1-2-6-3/h1-2H
InChI=1S/C6H6S3/c7-6-4-2-1-3-5(4)8-9-6/h1-3H2
InChI=1S/C20H23FN2O3/c21-17-3-1-2-4-20(17)26-16-7-13-10-23(11-14(13)8-16)12-19(25)18-6-5-15(24)9-22-18/h1-6,9,13-14,16,19,24-25H,7-8,10-12H2/t13-,14+,16-,19-/m0/s1
