ID	SMILES	InChI	InChIKey
roblitinib	CN1CCN(C(=O)C1)CC2=C(N=C3C(=C2)CCCN3C(=O)NC4=NC=C(C(=C4)NCCOC)C#N)C=O	InChI=1S/C25H30N8O4/c1-31-7-8-32(23(35)15-31)14-18-10-17-4-3-6-33(24(17)29-21(18)16-34)25(36)30-22-11-20(27-5-9-37-2)19(12-26)13-28-22/h10-11,13,16H,3-9,14-15H2,1-2H3,(H2,27,28,30,36)	BHKDKKZMPODMIQ-UHFFFAOYSA-N
YTP-2137	O=C(NC#C)C1=CC(NC2=NNC(C3CC3)=C2)=NC(N4CCN(CC5=CC(C=O)=C(O)C=C5)CC4)=N1	InChI=1S/C25H26N8O3/c1-2-26-24(36)20-13-22(28-23-12-19(30-31-23)17-4-5-17)29-25(27-20)33-9-7-32(8-10-33)14-16-3-6-21(35)18(11-16)15-34/h1,3,6,11-13,15,17,35H,4-5,7-10,14H2,(H,26,36)(H2,27,28,29,30,31)	DYSUWCGKHJZOIU-UHFFFAOYSA-N
4.0	O=C(NC#C)C1=CC(NC2=NNC(C3CC3)=C2)=NC(N4CCN(CC5=CC(O)=C(C=O)C=C5)CC4)=N1	InChI=1S/C25H26N8O3/c1-2-26-24(36)20-13-22(28-23-12-19(30-31-23)17-5-6-17)29-25(27-20)33-9-7-32(8-10-33)14-16-3-4-18(15-34)21(35)11-16/h1,3-4,11-13,15,17,35H,5-10,14H2,(H,26,36)(H2,27,28,29,30,31)	SZNPNMFYOKFTAK-UHFFFAOYSA-N
None	OC(C=C1OC)=C(C=O)C=C1C2=CNC3=C2C=C(C4=CC(C(N(C)C)=O)=CN=C4)C=N3	InChI=1S/C23H20N4O4/c1-27(2)23(30)15-4-13(8-24-9-15)14-5-18-19(11-26-22(18)25-10-14)17-6-16(12-28)20(29)7-21(17)31-3/h4-12,29H,1-3H3,(H,25,26)	JYBKYHQDAOGLCV-UHFFFAOYSA-N
None	CC(OC(C)C1)CN1S(C2=CC=C(C=O)C=C2)(=O)=O	InChI=1S/C13H17NO4S/c1-10-7-14(8-11(2)18-10)19(16,17)13-5-3-12(9-15)4-6-13/h3-6,9-11H,7-8H2,1-2H3/t10-,11+	GZGHFFPTXVUCPP-PHIMTYICSA-N
CHEMBL4277111	C1=CC2=C(C(=C1)C(=O)NC3=NC=C(C=C3)C(F)(F)F)N=C(C=C2)C=O	InChI=1S/C17H10F3N3O2/c18-17(19,20)11-5-7-14(21-8-11)23-16(25)13-3-1-2-10-4-6-12(9-24)22-15(10)13/h1-9H,(H,21,23,25)	RJUAKORAVOTBIE-UHFFFAOYSA-N
BIA 10-2474 	CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=C[N+](=CC=C3)[O-]	InChI=1S/C16H20N4O2/c1-18(14-7-3-2-4-8-14)16(21)19-11-15(17-12-19)13-6-5-9-20(22)10-13/h5-6,9-12,14H,2-4,7-8H2,1H3	DOWVMJFBDGWVML-UHFFFAOYSA-N
