ID	SMILES	InChI	InChIKey
T0070907	C1=CC(=C(C=C1[N+](=O)[O-])C(=O)NC2=CC=NC=C2)Cl	InChI=1S/C12H8ClN3O3/c13-11-2-1-9(16(18)19)7-10(11)12(17)15-8-3-5-14-6-4-8/h1-7H,(H,14,15,17)	FRPJSHKMZHWJBE-UHFFFAOYSA-N
L-764406	C1=CC=C(C=C1)S(=O)(=O)CC2=NC3=CC=CC=C3N=C2Cl	InChI=1S/C15H11ClN2O2S/c16-15-14(17-12-8-4-5-9-13(12)18-15)10-21(19,20)11-6-2-1-3-7-11/h1-9H,10H2	AMNQYONRCBZMGT-UHFFFAOYSA-N
GW-9662	CC1(CCCN1S(=O)(=O)C2=CC(=CC(=C2)Cl)Cl)C(=O)NC(CC3=CC=C(C=C3)OC4=CC=CC=C4[N+](=O)[O-])C(=O)O	InChI=1S/C27H25Cl2N3O8S/c1-27(11-4-12-31(27)41(38,39)21-15-18(28)14-19(29)16-21)26(35)30-22(25(33)34)13-17-7-9-20(10-8-17)40-24-6-3-2-5-23(24)32(36)37/h2-3,5-10,14-16,22H,4,11-13H2,1H3,(H,30,35)(H,33,34)/t22-,27+/m1/s1	NLCNZJYXQQLVGN-AMGIVPHBSA-N
CHEMBL4294665	C1=CC(=NC(=C1[N+](=O)[O-])NC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl	InChI=1S/C11H5Cl2F3N4O2/c12-6-3-5(11(14,15)16)4-17-9(6)19-10-7(20(21)22)1-2-8(13)18-10/h1-4H,(H,17,18,19)	WDFYMZRGTWFEER-UHFFFAOYSA-N
CHEMBL3092124	CC1=CC2=C(C=C1F)N(C(=C2C3=CC=CNC3=O)C(=O)O)CC4=CC5=CC=CC=C5N=C4Cl	InChI=1S/C25H17ClFN3O3/c1-13-9-17-20(11-18(13)27)30(12-15-10-14-5-2-3-7-19(14)29-23(15)26)22(25(32)33)21(17)16-6-4-8-28-24(16)31/h2-11H,12H2,1H3,(H,28,31)(H,32,33)	UZVPIJMLVISXHS-UHFFFAOYSA-N
