ID	SMILES	InChI	InChIKey
DPP-728	C1C[C@H](N(C1)C(=O)CNCCNC2=NC=C(C=C2)C#N)C#N	InChI=1S/C15H18N6O/c16-8-12-3-4-14(20-10-12)19-6-5-18-11-15(22)21-7-1-2-13(21)9-17/h3-4,10,13,18H,1-2,5-7,11H2,(H,19,20)/t13-/m0/s1	VFFZWMWTUSXDCB-ZDUSSCGKSA-N
covid1	CC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N(C)N(CCC(=O)N)C#N)C(C)(C)C)NC(=O)OCC2=CC=CC=C2	InChI=1S/C32H43N7O6/c1-6-24(36-31(44)45-20-23-15-11-8-12-16-23)28(41)37-27(32(2,3)4)29(42)35-25(19-22-13-9-7-10-14-22)30(43)38(5)39(21-33)18-17-26(34)40/h7-16,24-25,27H,6,17-20H2,1-5H3,(H2,34,40)(H,35,42)(H,36,44)(H,37,41)/t24-,25-,27+/m0/s1	JGNSKMJHNUAKGY-OHSXHVKISA-N
CHEMBL4516025	C1=CC=C(C(=C1)C2C(=C(SC(=C2C#N)N)N)C#N)F	InChI=1S/C13H9FN4S/c14-10-4-2-1-3-7(10)11-8(5-15)12(17)19-13(18)9(11)6-16/h1-4,11H,17-18H2	JIJZMMYXPAJDKB-UHFFFAOYSA-N
CHEMBL4560385	C1C[C@H](CN(C1)C#N)N2C(=C(C(=N2)C3=CC=C(C=C3)OC4=C(C=C(C=C4)F)F)C(=O)N)N	InChI=1S/C22H20F2N6O2/c23-14-5-8-18(17(24)10-14)32-16-6-3-13(4-7-16)20-19(22(27)31)21(26)30(28-20)15-2-1-9-29(11-15)12-25/h3-8,10,15H,1-2,9,11,26H2,(H2,27,31)/t15-/m1/s1	SQFDBQCBXUWICP-OAHLLOKOSA-N
L-873724	CC(C)C[C@@H](C(=O)NCC#N)N[C@@H](C1=CC=C(C=C1)C2=CC=C(C=C2)S(=O)(=O)C)C(F)(F)F	InChI=1S/C23H26F3N3O3S/c1-15(2)14-20(22(30)28-13-12-27)29-21(23(24,25)26)18-6-4-16(5-7-18)17-8-10-19(11-9-17)33(3,31)32/h4-11,15,20-21,29H,13-14H2,1-3H3,(H,28,30)/t20-,21-/m0/s1	VYFDSJLOCIGIKP-SFTDATJTSA-N
SCHEMBL4613102	COC1=CC=C(C=C1)S(=O)(=O)C[C@@H]2CCCC[C@H]2C(=O)NCC#N	InChI=1S/C17H22N2O4S/c1-23-14-6-8-15(9-7-14)24(21,22)12-13-4-2-3-5-16(13)17(20)19-11-10-18/h6-9,13,16H,2-5,11-12H2,1H3,(H,19,20)/t13-,16+/m0/s1	FTVBRFFZBFUSJC-XJKSGUPXSA-N
FX-909	CS(=O)(=O)C1=C(C=C(C=C1)C#N)C2=CC(=O)C3=C(N2)C=C(C=C3F)F	InChI=1S/C17H10F2N2O3S/c1-25(23,24)16-3-2-9(8-20)4-11(16)13-7-15(22)17-12(19)5-10(18)6-14(17)21-13/h2-7H,1H3,(H,21,22)	RBUBBZVQPHSZEZ-UHFFFAOYSA-N
NSC-323953	COC1=CC=CC(=C1)C2C(C(=O)NC(=O)C2C#N)C#N	InChI=1S/C14H11N3O3/c1-20-9-4-2-3-8(5-9)12-10(6-15)13(18)17-14(19)11(12)7-16/h2-5,10-12H,1H3,(H,17,18,19)/t10-,11+,12-	HNZLUSPYRZTSDQ-ZSBIGDGJSA-N
KYP-2047	C1C[C@H](N(C1)C(=O)[C@@H]2CCCN2C(=O)CCCC3=CC=CC=C3)C#N	InChI=1S/C20H25N3O2/c21-15-17-10-5-13-22(17)20(25)18-11-6-14-23(18)19(24)12-4-9-16-7-2-1-3-8-16/h1-3,7-8,17-18H,4-6,9-14H2/t17-,18-/m0/s1	SPXFAUXQZWJGCJ-ROUUACIJSA-N
