InChI
InChI=1S/C15H11ClN2O2S/c16-15-14(17-12-8-4-5-9-13(12)18-15)10-21(19,20)11-6-2-1-3-7-11/h1-9H,10H2
InChI=1S/C13H10ClN2O3/c14-12-7-6-10(16(18)19)8-11(12)13(17)15-9-4-2-1-3-5-9/h1-8,15,17H
InChI=1S/C11H5Cl2F3N4O2/c12-6-3-5(11(14,15)16)4-17-9(6)19-10-7(20(21)22)1-2-8(13)18-10/h1-4H,(H,17,18,19)
InChI=1S/C25H19ClFN3O3/c1-13-9-17-20(11-18(13)27)30(12-15-10-14-5-2-3-7-19(14)29-23(15)26)22(25(32)33)21(17)16-6-4-8-28-24(16)31/h2-11,28,31-33H,12H2,1H3
