ID	SMILES	InChI	InChIKey
Viridin	C[C@]12[C@@H]([C@@H](C(=O)C3=COC(=C31)C(=O)C4=C2C=CC5=C4CCC5=O)OC)O	InChI=1S/C20H16O6/c1-20-11-5-3-8-9(4-6-12(8)21)13(11)16(23)17-14(20)10(7-26-17)15(22)18(25-2)19(20)24/h3,5,7,18-19,24H,4,6H2,1-2H3/t18-,19-,20-/m1/s1	YEIGUXGHHKAURB-VAMGGRTRSA-N
(−)-Viridiol	C[C@]12[C@@H]([C@@H]([C@@H](C3=COC(=C31)C(=O)C4=C2C=CC5=C4CCC5=O)O)OC)O	InChI=1S/C20H18O6/c1-20-11-5-3-8-9(4-6-12(8)21)13(11)16(23)17-14(20)10(7-26-17)15(22)18(25-2)19(20)24/h3,5,7,15,18-19,22,24H,4,6H2,1-2H3/t15-,18-,19-,20-/m1/s1	JZAFRYPNQHUUMQ-HUYLIWGRSA-N
wortmannin	CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C	InChI=1S/C23H24O8/c1-10(24)30-13-7-22(2)12(5-6-14(22)25)16-18(13)23(3)15(9-28-4)31-21(27)11-8-29-20(17(11)23)19(16)26/h8,12-13,15H,5-7,9H2,1-4H3/t12-,13+,15+,22-,23-/m0/s1	QDLHCMPXEPAAMD-QAIWCSMKSA-N
Halenaquinol	C[C@@]12CCC(=O)C3=COC(=C31)C(=O)C4=CC5=C(C=CC(=C5C=C24)O)O	InChI=1S/C20H14O5/c1-20-5-4-16(23)12-8-25-19(17(12)20)18(24)11-6-9-10(7-13(11)20)15(22)3-2-14(9)21/h2-3,6-8,21-22H,4-5H2,1H3/t20-/m0/s1	WXLYRCGVTYXHMS-FQEVSTJZSA-N
